"export-plots data (NetLogo 5.3.1)"
"TrafficLights.nlogo"
"03/20/2016 13:09:47:749 +0800"

"MODEL SETTINGS"
"display_label?","spawn-propabilty","acceleration","jc_lenth","deceleration","import-option","gnerate-file","speed-limit","string-switch-input","input-list"
"false","24","0.05","40","0.1","1","false","0.5","""a""","""[ 1 2 3 \""a\"" 4 ]"""

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","41.8","true","""pen-1""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""pen-1""","true","0","1","15","341"

"""pen-1"""
"x","y","color","pen down?"
"0","0","15","true"
"1","0","15","true"
"2","1","15","true"
"3","1","15","true"
"4","1","15","true"
"5","1","15","true"
"6","1","15","true"
"7","1","15","true"
"8","1","15","true"
"9","1","15","true"
"10","1","15","true"
"11","1","15","true"
"12","1","15","true"
"13","1","15","true"
"14","1","15","true"
"15","1","15","true"
"16","1","15","true"
"17","1","15","true"
"18","2","15","true"
"19","2","15","true"
"20","2","15","true"
"21","3","15","true"
"22","4","15","true"
"23","4","15","true"
"24","4","15","true"
"25","4","15","true"
"26","4","15","true"
"27","5","15","true"
"28","5","15","true"
"29","5","15","true"
"30","6","15","true"
"31","6","15","true"
"32","6","15","true"
"33","6","15","true"
"34","7","15","true"
"35","7","15","true"
"36","7","15","true"
"37","8","15","true"
"38","8","15","true"
"39","9","15","true"
"40","10","15","true"
"41","10","15","true"
"42","11","15","true"
"43","11","15","true"
"44","11","15","true"
"45","12","15","true"
"46","12","15","true"
"47","13","15","true"
"48","13","15","true"
"49","13","15","true"
"50","13","15","true"
"51","13","15","true"
"52","14","15","true"
"53","14","15","true"
"54","14","15","true"
"55","15","15","true"
"56","15","15","true"
"57","16","15","true"
"58","16","15","true"
"59","16","15","true"
"60","16","15","true"
"61","15","15","true"
"62","15","15","true"
"63","15","15","true"
"64","15","15","true"
"65","16","15","true"
"66","16","15","true"
"67","16","15","true"
"68","16","15","true"
"69","16","15","true"
"70","16","15","true"
"71","16","15","true"
"72","16","15","true"
"73","16","15","true"
"74","16","15","true"
"75","16","15","true"
"76","16","15","true"
"77","15","15","true"
"78","16","15","true"
"79","16","15","true"
"80","16","15","true"
"81","16","15","true"
"82","16","15","true"
"83","15","15","true"
"84","15","15","true"
"85","15","15","true"
"86","15","15","true"
"87","16","15","true"
"88","16","15","true"
"89","16","15","true"
"90","16","15","true"
"91","16","15","true"
"92","16","15","true"
"93","16","15","true"
"94","16","15","true"
"95","16","15","true"
"96","17","15","true"
"97","17","15","true"
"98","16","15","true"
"99","16","15","true"
"100","16","15","true"
"101","17","15","true"
"102","17","15","true"
"103","17","15","true"
"104","17","15","true"
"105","17","15","true"
"106","17","15","true"
"107","17","15","true"
"108","15","15","true"
"109","15","15","true"
"110","16","15","true"
"111","16","15","true"
"112","16","15","true"
"113","16","15","true"
"114","16","15","true"
"115","16","15","true"
"116","16","15","true"
"117","16","15","true"
"118","16","15","true"
"119","16","15","true"
"120","16","15","true"
"121","16","15","true"
"122","17","15","true"
"123","17","15","true"
"124","17","15","true"
"125","17","15","true"
"126","18","15","true"
"127","18","15","true"
"128","18","15","true"
"129","18","15","true"
"130","18","15","true"
"131","18","15","true"
"132","18","15","true"
"133","18","15","true"
"134","18","15","true"
"135","18","15","true"
"136","18","15","true"
"137","18","15","true"
"138","18","15","true"
"139","18","15","true"
"140","18","15","true"
"141","18","15","true"
"142","18","15","true"
"143","18","15","true"
"144","18","15","true"
"145","17","15","true"
"146","17","15","true"
"147","16","15","true"
"148","16","15","true"
"149","16","15","true"
"150","16","15","true"
"151","17","15","true"
"152","18","15","true"
"153","18","15","true"
"154","19","15","true"
"155","20","15","true"
"156","21","15","true"
"157","19","15","true"
"158","19","15","true"
"159","20","15","true"
"160","20","15","true"
"161","20","15","true"
"162","20","15","true"
"163","21","15","true"
"164","22","15","true"
"165","22","15","true"
"166","22","15","true"
"167","22","15","true"
"168","23","15","true"
"169","24","15","true"
"170","24","15","true"
"171","25","15","true"
"172","25","15","true"
"173","26","15","true"
"174","26","15","true"
"175","26","15","true"
"176","26","15","true"
"177","26","15","true"
"178","26","15","true"
"179","26","15","true"
"180","27","15","true"
"181","27","15","true"
"182","27","15","true"
"183","27","15","true"
"184","27","15","true"
"185","27","15","true"
"186","27","15","true"
"187","27","15","true"
"188","27","15","true"
"189","27","15","true"
"190","27","15","true"
"191","27","15","true"
"192","28","15","true"
"193","29","15","true"
"194","29","15","true"
"195","30","15","true"
"196","30","15","true"
"197","30","15","true"
"198","30","15","true"
"199","30","15","true"
"200","30","15","true"
"201","31","15","true"
"202","31","15","true"
"203","31","15","true"
"204","30","15","true"
"205","30","15","true"
"206","29","15","true"
"207","29","15","true"
"208","28","15","true"
"209","28","15","true"
"210","27","15","true"
"211","28","15","true"
"212","28","15","true"
"213","28","15","true"
"214","28","15","true"
"215","28","15","true"
"216","27","15","true"
"217","27","15","true"
"218","27","15","true"
"219","27","15","true"
"220","27","15","true"
"221","27","15","true"
"222","27","15","true"
"223","27","15","true"
"224","27","15","true"
"225","27","15","true"
"226","27","15","true"
"227","27","15","true"
"228","27","15","true"
"229","27","15","true"
"230","28","15","true"
"231","28","15","true"
"232","27","15","true"
"233","26","15","true"
"234","25","15","true"
"235","25","15","true"
"236","25","15","true"
"237","26","15","true"
"238","26","15","true"
"239","26","15","true"
"240","26","15","true"
"241","26","15","true"
"242","26","15","true"
"243","26","15","true"
"244","26","15","true"
"245","26","15","true"
"246","26","15","true"
"247","26","15","true"
"248","27","15","true"
"249","27","15","true"
"250","27","15","true"
"251","27","15","true"
"252","27","15","true"
"253","27","15","true"
"254","28","15","true"
"255","28","15","true"
"256","28","15","true"
"257","28","15","true"
"258","29","15","true"
"259","29","15","true"
"260","29","15","true"
"261","30","15","true"
"262","30","15","true"
"263","30","15","true"
"264","31","15","true"
"265","32","15","true"
"266","32","15","true"
"267","31","15","true"
"268","31","15","true"
"269","31","15","true"
"270","31","15","true"
"271","31","15","true"
"272","31","15","true"
"273","31","15","true"
"274","32","15","true"
"275","32","15","true"
"276","32","15","true"
"277","31","15","true"
"278","31","15","true"
"279","31","15","true"
"280","31","15","true"
"281","32","15","true"
"282","32","15","true"
"283","32","15","true"
"284","32","15","true"
"285","32","15","true"
"286","33","15","true"
"287","33","15","true"
"288","33","15","true"
"289","34","15","true"
"290","35","15","true"
"291","36","15","true"
"292","36","15","true"
"293","36","15","true"
"294","36","15","true"
"295","37","15","true"
"296","37","15","true"
"297","37","15","true"
"298","36","15","true"
"299","36","15","true"
"300","37","15","true"
"301","38","15","true"
"302","38","15","true"
